question,A,B,C,D,correct answer
"se fue
",saw,going to ,went,goes,c
"What is "" Esperar"" in English?",touch,wait,feel,run,b
"I ____, you are, he is, they are, we are",am,are,is,was,a
"eat, ___, _____ (past, past participle)","ete, ate","ate, eats","ate, eaten","eat, eat",c
choose the correct grammar: past simple,He is ,She is going to be ,I was,We are,c
"Translate: "" Yo quiero una reserva, por favor""","""I want to reserve please""","""I want a reservation, please""","""I reserve please""",none of the above,b
"What is "" Hacer "" in English ",to do ,to make ,to have ,to be,b
I am ____ an apple.,eat,ate,eats,eating,d
The man ____ a blue shirt. (comprar),made,likes,bought,sleep,c
"What is "" cazar"" in English?",to hunt,to try ,to feel,to cook,a
"""____ is at the door?""",What,Where,Who,Why,c
"Translate: "" Somos de Estatos Unidos""",They were from Canada.,We are from the United States.,"We are from the Estatos Unidos""",We are American.,b
Choose the matching answer: How are you?,I is unwell,I am a student.,I have brown hair.,I am tired.,d
"Do, ___, _____ (past, past participle)","dig, dug","did, done","done, dug","done, did",b
"I am, you are, he is, they ___, we are",are,will,is,am,a
"What is "" amar"" in English?",to hate,to arm,to love,to ain,c
We _____ in traffic for 5 hours! (past perfect),drive,waited,hanged,park,b
Teacher Gina _____ 3rd and 4th grade.,studies,trains,is,teaches,d
"Translate ""¿Dónde vives?""",“Where do you live?”,"""Where are you from?""","Where does he live?""",none of the above,a
"""____ are you late to class?""",Where,Who,When,Why,d
"Translate: este coche , esta lapiz","that car, this pencil","this coat , this pen ","that car, that pencil","this car, this pencil",d
Translate: ¿Cuánta agua?,What water?,How much water?,Much how water?,none of the above,b
Translate: ¿Por qué dices eso?,For what did you do this?,Why did you say this?,Why did you say that?,Why did you do that?,c
Translate: ¿Puedo hacerte una pregunta? ,can I make a question?,Can i take a question?,Can you ask me a question?,can i ask you a question?,d
He ___ go to college. (future),went,walk,will,be,c
"I ____ (caminar), she ____ (correr)","went, walk","walk, mails","walk, run","walk, runs",d
